"safegraph_brand_id","brand_name","parent_safegraph_brand_id","naics_code","top_category","sub_category","stock_symbol","stock_exchange","iso_country_codes_open","iso_country_codes_closed"
"SG_BRAND_00622ccf65722570a774037f170bb631","D&W Fresh Market","SG_BRAND_2f52eaab3edfa154fca397a25258afe0","445110","Grocery Stores","Supermarkets and Other Grocery (except Convenience) Stores","SPTN","NASDAQ","[US]","[]"
"SG_BRAND_006deba8afb3d99f","Amware Fulfillment","","493110","Warehousing and Storage","General Warehousing and Storage","","","[US]","[US]"
"SG_BRAND_0091111b1a2909ec","Warehouse One","","448120","Clothing Stores","Women's Clothing Stores","","","[CA]","[CA]"
"SG_BRAND_009881250315de09","Lloyds Bank","SG_BRAND_bdbc8abf721ca652","522110","Depository Credit Intermediation","Commercial Banking","","","[GB,JE,IM,GG]","[GB]"
"SG_BRAND_0099532bd1ea3058","Black Rock Bar & Grill","","722511","Restaurants and Other Eating Places","Full-Service Restaurants","","","[US]","[]"
"SG_BRAND_00ae747ff5ad20e83df439ab616ecc35","Murphy USA","","447110","Gasoline Stations","Gasoline Stations with Convenience Stores","MUSA","NYSE","[US]","[US]"
"SG_BRAND_00bc98e3ce50a8142b86c47f40b85735","Trademark Hotels","SG_BRAND_0aba43027dab3087acff1cb8f463fa22","721110","Traveler Accommodation","Hotels (except Casino Hotels) and Motels","WH","NYSE","[MX,NZ,NL,GR,DE,CH,BZ,RO,GB,BE,HU,US,CA,FJ,AU,AT]","[CH]"
"SG_BRAND_00cb82f6b8af6028a8b00cf30e262dd1","Boca Grande","","722513","Restaurants and Other Eating Places","Limited-Service Restaurants","","","[US]","[]"
"SG_BRAND_00d34d8f9d7d7da01a25de78aa8baf9e","Steve Madden","","448210","Shoe Stores","Shoe Stores","SHOO","NASDAQ","[HN,CR,MX,ID,JP,TH,CN,AR,IE,RU,TR,QA,GT,TN,PH,EG,PK,KZ,KW,NL,GR,PA,TW,JO,DO,SG,IL,GB,BE,VE,IT,SA,UA,US,ZA,GE,AE,PE,CA,MY,VN,OM,SV,AU,BH,SE,IN,CL]","[]"
"SG_BRAND_00db0391d05de9dc3d3ce6815e06a18f","Toys 'R' Us","","451120","Sporting Goods, Hobby, and Musical Instrument Stores","Hobby, Toy, and Game Stores","","","[JP,TH,CN,PH,BN,TW,SG,ZM,ZA,NA,CA,MY,BW]","[]"
"SG_BRAND_00dbf12892060215","Booker Wholesale","SG_BRAND_220dead10dd6a5c7","445110","Grocery Stores","Supermarkets and Other Grocery (except Convenience) Stores","","","[GB]","[]"
"SG_BRAND_00e1f4751e732a63453136374ec6ebda","Children's Medical Center","","622110","General Medical and Surgical Hospitals","General Medical and Surgical Hospitals","","","[US]","[US]"
"SG_BRAND_00ec034a0e1b5ad448338d6cca4f465a","Monroe","","441310","Automotive Parts, Accessories, and Tire Stores","Automotive Parts and Accessories Stores","","","[]","[]"
"SG_BRAND_00ef5e29de18fd5694b172ee2345cf26","Vapiano","","722511","Restaurants and Other Eating Places","Full-Service Restaurants","","","[US]","[US]"
"SG_BRAND_00f0efce83a7ff22","One Medical","","621111","Offices of Physicians","Offices of Physicians (except Mental Health Specialists)","","","[US]","[]"
"SG_BRAND_01105db08b468175","Trade Secrets","","446120","Health and Personal Care Stores","Cosmetics, Beauty Supplies, and Perfume Stores","","","[CA]","[CA]"
"SG_BRAND_0115ae8436984270","Assured Collision Repair Professionals","SG_BRAND_e6495af7cd6b8d7d","811198","Automotive Repair and Maintenance","All Other Automotive Repair and Maintenance","","","[CA]","[]"
"SG_BRAND_011f6bdbdc746ceb","Little Chef","","722511","Restaurants and Other Eating Places","Full-Service Restaurants","","","[GB]","[]"
"SG_BRAND_014a719b7e64084e","Clark's Pump-n-Shop","","445110","Grocery Stores","Supermarkets and Other Grocery (except Convenience) Stores","","","[US]","[US]"
"SG_BRAND_016078ec43eb3051","Phil's One Stop","","447110","Gasoline Stations","Gasoline Stations with Convenience Stores","","","[US]","[US]"
"SG_BRAND_01644e771a1e10f6","Ever Bowl","","722515","Restaurants and Other Eating Places","Snack and Nonalcoholic Beverage Bars","","","[US]","[US]"
"SG_BRAND_01655ff382eb79ba","Tesco Superstore","SG_BRAND_220dead10dd6a5c7","445110","Grocery Stores","Supermarkets and Other Grocery (except Convenience) Stores","","","[GB,IM]","[]"
"SG_BRAND_01656df8c8403121","Radisson Collection","SG_BRAND_d984a630cb6a99ed5e92d3b4d7dd7f36","721110","Traveler Accommodation","Hotels (except Casino Hotels) and Motels","","","[CN,EE,RU,TR,AL,ML,ES,PL,DE,DK,GB,BE,IT,SA,GE,OM,RS,SE]","[]"
"SG_BRAND_01686f5c301c52da","Board & Brew","","722513","Restaurants and Other Eating Places","Limited-Service Restaurants","","","[US]","[]"
"SG_BRAND_016d2c38631de45e","Signature Style Salons","SG_BRAND_2f65554b99c708fa","812112","Personal Care Services","Beauty Salons","RGS","NYSE","[]","[]"
"SG_BRAND_016fdacdec1c6b85","Li'l Cricket","SG_BRAND_424a47b33a953161","445120","Grocery Stores","Convenience Stores","","","[US]","[]"
"SG_BRAND_01722c94c896b3cc3fe231b813e4238c","VG's Grocery","SG_BRAND_2f52eaab3edfa154fca397a25258afe0","445110","Grocery Stores","Supermarkets and Other Grocery (except Convenience) Stores","SPTN","NASDAQ","[US]","[]"
"SG_BRAND_01794255c0fd136b","North Shore Bank of Commerce","","522110","Depository Credit Intermediation","Commercial Banking","","","[US]","[]"
"SG_BRAND_019739d62b9d093f","Joella's Hot Chicken","","722513","Restaurants and Other Eating Places","Limited-Service Restaurants","","","[US]","[US]"
"SG_BRAND_0197480e20033083","Westville","","722511","Restaurants and Other Eating Places","Full-Service Restaurants","","","[US]","[]"
"SG_BRAND_019ed65b3584fd1c978e0c3e39ca86b2","Papa Vino's Italian Kitchen","SG_BRAND_196a8e1068d8286d","722511","Restaurants and Other Eating Places","Full-Service Restaurants","","","[US]","[US]"
"SG_BRAND_01b3b9f42a2698ba","Smiggle","","453210","Office Supplies, Stationery, and Gift Stores","Office Supplies and Stationery Stores","","","[GB]","[GB]"
"SG_BRAND_01b4c8b1942693d43f4955ce540d1734","USAA","","522120","Depository Credit Intermediation","Savings Institutions","USISX","MUTF","[US]","[]"
"SG_BRAND_01b97aeabf5d692f","Safeway Fuel Station","SG_BRAND_7cde1ae4542b0a76a2e5efeccc69e55f","447110","Gasoline Stations","Gasoline Stations with Convenience Stores","","","[US]","[]"
"SG_BRAND_01c7aa8a05a201d0","North 40 Outfitters","","444220","Lawn and Garden Equipment and Supplies Stores","Nursery, Garden Center, and Farm Supply Stores","","","[US]","[US]"
"SG_BRAND_01dcf1d0738a8f9b92237df7f8a4bb0a","Staffmark","","561311","Employment Services","Employment Placement Agencies","","","[US]","[]"
"SG_BRAND_01e2eeffab0e5bc98cd18bf8d8774d1d","Elmer's Restaurants","","722511","Restaurants and Other Eating Places","Full-Service Restaurants","","","[US]","[US]"
"SG_BRAND_01e9b7353083bb45c018b3c8ee7612c5","SoulCycle","","713940","Other Amusement and Recreation Industries","Fitness and Recreational Sports Centers","","","[US,CA]","[US]"
"SG_BRAND_01efd13865129be9","Budget Brake & Muffler","","811111","Automotive Repair and Maintenance","General Automotive Repair","","","[CA]","[]"
"SG_BRAND_01fb6c5f365b40c2","Champion Sports Medicine","","621111","Offices of Physicians","Offices of Physicians (except Mental Health Specialists)","","","[US]","[US]"
"SG_BRAND_0206e9445d4ea29c","Craftsman Collision Canada","","811111","Automotive Repair and Maintenance","General Automotive Repair","","","[CA]","[]"
